contract,args,call_1,call_2,callable_more_than_once
087b17c27a124b1f75db0e5d68f5220e20d8987b555ac87a87db9a0247c52fde.wasm,"address, address, 312504, 522235, address, address, 45619",ok,"Error(Contract, #1)",no
089c7a8ffa046ad4097b12bdadada4255e5a4c5b2420415c4f6dafc5db6e72d6.wasm,"address, ",ok,"Error(Contract, #1)",no
08a398eecfd4fea7c178c793857fab3753b04c2b58c15ba3a5a862fe4b715bd2.wasm,"address, 433559, , ","Error(Contract, #605)","Error(Contract, #605)",unknown
08bd738cca54aa6ae361657de11428e76f525805018e679465e5cddb020faf1d.wasm,address,ok,"Error(Contract, #2)",no
08e0ee46cbaf82479a674a535ba4fb454389c9a557c7b8959a0804a46135e730.wasm,"address, address, qu, 8k","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
0983a652f2f7253709def620f07407194e1424f353d6a5bec90e3d37eafc2e5f.wasm,"address, [address address address address [address address address]], address, bytes[32], [], 130048, 836359","Error(Contract, #2003)","Error(Contract, #2003)",unknown
09cfe695e763159a6bae06f3db549290ff2327510c1c70e847a4ebeeb8cd073a.wasm,"address, st7, tm","Error(Contract, #1)","Error(Contract, #1)",unknown
0a9cc89a1264e1f625596249294e2d25269bc52b582eab65063e6f79d4f4d29d.wasm,"address, address, 812960",ok,"Error(Contract, #13)",no
0ab013dd9f4373f3052ad39dbb4f60def9495b77d301a3aab08405ac2b1052d8.wasm,"address, address, address, address, address, true, address, 55019",ok,"Error(WasmVm, InvalidAction)",no
0ad0e5b60069211d8ae54e2cc4249fc6d356ed941a250101b2d77d9f7a3f0562.wasm,"address, yd2",ok,"Error(Contract, #1)",no
0ae59e2d2c214dfce035c17a47f7a29dc25d385989ad19ada6de7fb58024b1a2.wasm,"address, address, address, address, address, [address address address]",ok,"Error(WasmVm, InvalidAction)",no
0af3bac3c0f5fe6d2f5382917ca15a56b4771ec00b4699b2bb23a054196c2bff.wasm,"address, address",ok,"Error(Contract, #4)",no
0b368a2c4cadd957895913b996856ec8068e81c0e3623553c744aca6bb764e8a.wasm,"address, , wha, address, address, m9k, , address",ok,"Error(WasmVm, InvalidAction)",no
0b543c8b2646f348e4ac15b33f20142e1a2c996e73fd0b81b44cfb2a8a867f73.wasm,"[address], [void address], [RiskAdjusted]","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
0b85a7d1479435adae1f26cd1b5415c02b836bd5ccbebae4f0eb265312848951.wasm,{native_token: address network_id: 4 sender: address upgrade_authority: address},ok,"Error(Contract, #2)",no
0ba8f9707e2e70b35267da7ab9718e4cae2c3ba2917e90aa625d413e02fe4d6d.wasm,"address, address",ok,"Error(Contract, #12)",no
0bebc24948941497ddd871076fcd6906b26d978fe803dd7ef7877dad6746431e.wasm,"address, address, address","Error(Contract, #1)","Error(Contract, #1)",unknown
0c0a93e462aaef901189718767adc82d7c75b247e0012b5dabafd1a286d40072.wasm,"address, address",ok,"Error(Contract, #2)",no
0c12f7899a1af1b52600dfeacccdc3bf8106119d65e2bca2c8a93bb114ecbfc6.wasm,"bytes[32], bytes[32], {admin: address fee_recipient: address max_allowed_slippage_bps: 836606 max_allowed_spread_bps: 937015 max_referral_bps: 353705 stake_init_info: {manager: address min_bond: 680009 min_reward: 135314} swap_fee_bps: 824238 token_init_info: {token_a: address token_b: address}}, address, 698902, rf, js","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
0c37cabe25f5f67f5e8199847c0962328c11147ebcd4cd5e7b66d3c97515f77b.wasm,"address, [Stellar address], address, , , 185522","Error(Contract, #20)","Error(Contract, #20)",unknown
0c41c203cb1625792c717878573178664c4ac5092cda1f2ecea66c7cf337a386.wasm,"address, 926592, 578313, 454630, address, address, address, {}",ok,"Error(Contract, #1)",no
0c5bb14b013509b492a91e7bf09db2dd527ce8c7a8c049007cd953be9094ffc2.wasm,"address, address, address, bytes[32], 369511","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
