contract,args,call_1,call_2,callable_more_than_once
8b0e0ae428e4dd36aabe9a8476c1e4962ff1d2c4e8afbcd66ef2223177e3f515.wasm,"address, 693942, , 61","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
8b140f768d2999fb66dbabcd5344a877cfab016eae9736a05061d243a09fde09.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
8b2a049a84a1bc9b21fe85df6f304a0b65f21d6af915c874fb1d6950db183249.wasm,"address, address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
8b310c3a822d4157e327d8805597a53d6919a7c6a18481bded2daf65ff16cce3.wasm,"address, address, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
8b31ad8d075f5b300a062d79fb010dfea11a7138f756ecf994499808618e334e.wasm,"address, 48, v0r",ok,"Error(WasmVm, InvalidAction)",no
8b9263f8205eaad2c36dae6e40bd86bc780212532949ba452cdfa08f02b4f357.wasm,{alpha: bytes[96] beta: bytes[192] delta: bytes[192] gamma: bytes[192] ic: [bytes[96] bytes[96] bytes[96]]},ok,"Error(Contract, #1)",no
8bc7894d8a4e46b085d0579e233e3c436bb34e18f9a2a83d4bde8526cde18cb6.wasm,{backstop: address blnd_id: address pool_hash: bytes[32]},ok,"Error(Contract, #3)",no
8c11fd2f6deb730c96881535381ea6e46f5da7e5357fbedac25738096497b681.wasm,"address, address, address",ok,"Error(Contract, #2)",no
8c63faee3539b6c27b087fe1f209c3ffb25cc1e71a43646118ecf0721ba2ac1e.wasm,"address, address",ok,"Error(Contract, #2)",no
8c6a3dcb1643984f4336120d8034428ca97230af550ed869d52787be7ea8e754.wasm,"address, 172438, [], 765839, 94213","Error(Contract, #13)","Error(Contract, #13)",unknown
8c76ffd3505326bbb4f2d60cd6807d5b1fd8730c147b999ee93b4eee352893ff.wasm,address,ok,"Error(Contract, #3)",no
8c7eac15e56fe39b0bbb36c379764471819275c289b30ee4fddb106d33a660ec.wasm,"address, address, address, address, 149558, 629569","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
8d151d7c213d1d72437a4bc17173d93b4fee7150bd7ff111e6e55cf698f9e4f9.wasm,"address, bytes[32], [], 616704, 886499, 576210","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
8d3a30572618b43c442380bfa41d5894e152fd2e75c749a80627643b7cc8984b.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
8d557b6258d61e7ca37be7d63a919e917dd495e3af96d9bc973e50533fd12986.wasm,"address, address, address",ok,"Error(Contract, #2)",no
8d88bcb8145d879de40a50adc240f8f6dfc655f742ae02b86b5c2f204fa5af8d.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
8d954489999199e21e677281cc03bc7882764d6c208fb60cdd552e823c224018.wasm,"address, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
8dc3b09f4fb0ce22def70b4fe9b8b472c27c4106d79301ed77c4d388b0867f7b.wasm,{admin: address stk_contract: address stk_lp_contract: address},ok,"Error(Contract, #1)",no
8dfad874ba76c252a4afc1a2afbb5d8429942d1b26b408252fe222e9671be388.wasm,"address, address, address, address",ok,"Error(Contract, #9)",no
8dfbc6ba300cde6ebe747cf985cf9221bf3594981595b9c26bbd108ff19a5598.wasm,"address, address, address, address, address, {address: 966173}","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
8e06ddce5078661808355f630d47b65772dc2fda4ac1af3c901aa41c9291ba04.wasm,"address, [address address address address [address address] address], address, address, bytes[32], [address address], [192468 125475], [xk jh6]","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
8e37b9149063338d2606522e375aa7bdc133bc7cf17e6aedc10305a270cda304.wasm,"address, address, address, 589069",ok,"Error(Contract, #2)",no
8e848cdfa6478646ed032db3a66c93cc2ba29dc804b870adf9d6ba4dd89f4d2d.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #27)",no
8eac62d83a23008dda6ac6fe4b8ec9700fd2057daea0c304fafafeba49159e35.wasm,"address, address, address",ok,"Error(Contract, #1)",no
8f2090ebb822e22ea389231770c51e7c85dac16c0f63d9620b7f8f48484bb0b6.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
8f70252d8f78ead227b2406de527384ceaf8a93a62e9ad5fd10aa7ce776e1992.wasm,"address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
8f79e8d49e1513486501c6265ee93f2c177e8f450e2039444646ea6e08ce5de4.wasm,address,ok,"Error(Contract, #3)",no
8fc25276d04bc9deac8812fa0961a1aa7ef24e97c24ff4b5f5263cf0bdab1ac9.wasm,"address, address, address, 497168",ok,"Error(WasmVm, InvalidAction)",no
8fc3a0a8d9438c8bcfc030dae0e5b12e5aeb3d6d656f79d1364e9082246ea777.wasm,"address, address, address, address, address","Error(Contract, #2)","Error(Contract, #2)",unknown
900c33b69cbe34748df4443f7681775a02b30599e3bab9c7c9f8b3225a3b1f1b.wasm,"address, 425979, ipw, t","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9011a61f9abfe61961383a846a5acf42e7b0be562a9942f11ab80ab8c8050a33.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
903bf59c7c6a9733543282e98136806dd4f5a9c775132ff5a42e9fcb4ddb6f2a.wasm,", i2, address, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
90697c8a5551539b87a74c0cd928d1574d2cc224e32c5c227a970959d76b6bb5.wasm,"address, 736280, 642941, 140111, 906545","Error(Contract, #4)","Error(Contract, #4)",unknown
90aba0ff9287fb0c856b398325976c1350aa72570e5fee8597e566f68b7f832e.wasm,"address, address",ok,"Error(Contract, #1)",no
90dc5acb211660ff285e6d5eb833cb17541b279a01c4718d209219781eccb13d.wasm,"address, address, address, address",ok,"Error(Contract, #1)",no
90f9b22631a09ec921847b3cfdf68a0734e4c7b9e7c1730f53bdf74515723220.wasm,"address, address, 695438",ok,"Error(Contract, #12)",no
9102087ef2560d517f364113cedc5fd324a3369dfb6bc5828c2e4f6c5d002f77.wasm,address,ok,"Error(Contract, #9)",no
914dc1baa2e7702ca6566245443cc22a1b5db6433943c1d1f662736d28cf0495.wasm,"address, address, bytes[32], [address address address], 277895","Error(Contract, #2001)","Error(Contract, #2001)",unknown
916315045be9861c47b22a8b2502ea266e75659d54fdbd0303ba1b9091c9632f.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 443719 fee_recipient: address max_allowed_slippage_bps: 942586 max_allowed_spread_bps: 755599 max_referral_bps: 511248 stake_init_info: {manager: address max_complexity: 380803 min_bond: 169096 min_reward: 532962} swap_fee_bps: 166397 token_init_info: {token_a: address token_b: address}}, address, 556624, c, , 177789, 87059","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
91f315db02a9be02b13147622aad92beefc61771e72f8aa4f0904ec2c1e10427.wasm,"address, address",ok,"Error(Contract, #1)",no
92aa492a1caaf67dc9e1ab3bba19ca75581b19e0cbe1bb4a8e871b9541090c7a.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 198296",ok,"Error(Contract, #2)",no
92d3f7fa9646624463d3d4d1667b0385d4b91f3e172024ce1d6c803f4aab83a1.wasm,"address, address, address, address, address, 383339, 980044, p5, m41","Error(Contract, #111)","Error(Contract, #111)",unknown
9300128650d6ac0387c5a98cb697637c5e0e5432694e6993d5276fac9b507cda.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
93069f45c1f6924093328a76c1285bf70b1b1910be869643f0f85aedd8617931.wasm,"address, address, address",ok,"Error(Contract, #1)",no
9309715ef54a4d35b7d60c3f825702ca7ad6b1ca13d8b949e295c755dc99fb4c.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 737461",ok,"Error(Contract, #2)",no
93162653c1f8ae5f68b8bcf7ee2387313377bdfaf1e768e6608f821c81860490.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 429185",ok,"Error(Contract, #2)",no
93684bf8c8ead19b7c1505f739c43a27a1a321affe7c1b6f993878ed51545bc7.wasm,address,ok,"Error(Contract, #4)",no
939eda257cd15aa6d674ba4e484285ab8d12f48400a6ea56ba860c91e5c1ffcc.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
93b69eaeee665ecc00f608fdf3492c592b551c4d0f61e7ae14ca3be34b22754f.wasm,"bytes[32], address, address, 273576, 979640, 707361, address, 661102, s","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
93c05940680e9d119928276087876d5ec3cfa5063489477d884c4781860fbc59.wasm,"address, address, address, address, 157282","Error(Contract, #9)","Error(Contract, #9)",unknown
93c5e22d071a330e789bc6a62409a87a0c05966273977e22fcabfc57e834f548.wasm,"address, 565609, r, hnr","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
93d19b323410d6cb4373e869a7c0f7711c39d3103fb82c4d65649735b3129607.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
943a7d74c7f3e65c0ff6a61b1b57600ed6957345518169736510d8aed5599a09.wasm,"address, address, address, address","Error(Value, InvalidInput)","Error(Value, InvalidInput)",unknown
9468e03c43bb1c5ea3ff09679ff00bfc54e562d20b39e80e0a4df203d3eaedb9.wasm,"address, ","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
94b3c032a5701c727281c82ede3ec446c7b452bf0387a47daa2606fbcd68f361.wasm,"address, address, address, 735767","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
94cb92e72554da28c77aa57590ee1f53437fe732c4ffffae87c8ba03adb52cbf.wasm,"address, address, 299955, 741398, address, address, 895572",ok,"Error(Contract, #1)",no
94d328b8fb8b31a74c6d316e157b9d427e4f46def0faeffbf426b392fc6020ac.wasm,"address, address, address, address, address, true",ok,"Error(WasmVm, InvalidAction)",no
94da343b4e485efc91b86dff1a5eaf8cbb2081ae7875fef4702b65435ab8ebcb.wasm,address,"Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9511a013acf36d1b3ca26f8628b2fe2c258e70719ac284b46d8f28782861e3b8.wasm,"address, address, {icon_governance: t upgrade_authority: address xcall: address}, [], [1 m4 ]",ok,"Error(Contract, #3)",no
953079207c92828263dce445673bd2e41987cc0ed7acde0304b1a2d0f3c2a702.wasm,address,ok,"Error(Contract, #2)",no
953455cfe371352742ea34134ed6dfefae8844ed44511895fec729edfb166171.wasm,"1z2, dpd, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
95468d6baff19b53e54ecac4b9b544ff7eb8f2a19366ff99ca55423c8ed187f2.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
956aa4ea680c004ce1efb97dd5d147d6d2eada11e11d5bfef6bbf1cf9facff9d.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
958b7c4fea1f8d23c0fe44cec9c88cee7d1d08933e71e560789f51690ecaff79.wasm,"address, address, address, 820716",ok,"Error(WasmVm, InvalidAction)",no
95a8e0018530226701ef8d31c7d4c2fe20ed9d7c303a14a70c3d96848ca4fa54.wasm,"U256(UInt256Parts { hi_hi: 0, hi_lo: 0, lo_hi: 0, lo_lo: 949031 })","Error(Contract, #21)","Error(Contract, #21)",unknown
95e79483a62a1a1aebe8b6d190f793d044cc289e1233d84d800217903af90b30.wasm,"address, address, 742694, 4506, address, address, 422732",ok,"Error(Contract, #1)",no
96696fdad6be7b80ca081ff2d88599f5456ee8724bbf151bd553ce4fa0a2dfa6.wasm,address,ok,"Error(Contract, #0)",no
96c6a73863de6e331d8103898f421bb7af719b87bbd4ac14d5a16f6b2662546b.wasm,"address, bytes[32], bytes[32], bytes[32], bytes[32], bytes[32], [], 117136","Error(Contract, #2)","Error(Contract, #2)",unknown
96f422c38226141f8df1b29a58e4fecd95c23e25f0d4e17c44f462b0c60f569a.wasm,"325159, 982762, 180785, 231334, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9716b6def4137a647580402acdcb4f2d8876614ca33992d236a4045e38bf5835.wasm,"[address address address], [], [FixedSeniorYield]","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9726d6f1efb0ada9987b1f28f8080804248ab0847b59d5d04b91d2176af6b276.wasm,"address, address, address, 296648",ok,"Error(Contract, #2)",no
976ed5e0c6e995ebf48dcee62d38fdd8022269596c411b7c842099630f619019.wasm,address,ok,"Error(Contract, #1014)",no
977da7a1608550f7f71fc5b8739570070d16cd307dac68d54b313125cc834656.wasm,"address, address, address",ok,"Error(WasmVm, InvalidAction)",no
97c4042c0e38c6850ed42f93615e1b74cff089814a5376385819a6d67eaa08d8.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
97c83287d8fd8f1bfdfdb4c9e3a97f15711cff83093600a37c60d51972af5bc6.wasm,"address, , ",ok,"Error(WasmVm, InvalidAction)",no
97c97c24f5f1158567a130466be4a9a81607e4fa4230d94e1b22c3af108e7c9a.wasm,"address, address, 755708, 840516, 494740, address, address, 952262, 199287",ok,"Error(WasmVm, InvalidAction)",no
97cfe76e69c0f45159e8229a7f2e0d1c289cfefee05a01df92a81d2e7b39bcde.wasm,"address, address, 896604",ok,"Error(Contract, #1)",no
97fd04b189716c491304aa3f7139a9825a57f2981e12d1ee1bd2cd280deb7548.wasm,address,"Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
98205bc5f857bc5576f2904d5312c7f1438053e95e92be37ca5d13941817d1d0.wasm,"address, address, 848514, 770116, address, address, 478243",ok,"Error(Contract, #1)",no
98366517421148a7966dfed32961b6d441e0307e838625129b80ffc676a1d529.wasm,"address, address, address, bytes[32], 76853","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
98563fe11c3e567c3bcae17026e09ea7650c662d2a797f8b04bd0b00dce1bb51.wasm,"address, address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
98b8a8bb1f29ec8bd430d9885a6785335f38c2eba41fcd66c6030dd4ab009c1e.wasm,"address, address, address, address, address, address","Error(Contract, #9)","Error(Contract, #9)",unknown
98d06f5676debc0d43e1056c76acdcafb5afc4b44860b56b6704adda85e05765.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
98eda5f67e4a35d965abb2b254dd5c861536407dd2caca535a4b77825ebb3bfb.wasm,"address, 50217, address, 916619, address, 498459, address","Error(Contract, #409)","Error(Contract, #409)",unknown
98f55116d6846fec7051717cef62424786e79a4e2f6495a92d499621f5127040.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
9937086f1222a6306f32b30f2a273dd3dd50d1b4cbe8f2c39735e61c48b84172.wasm,"address, 544021, 83384, 77407","Error(Contract, #8)","Error(Contract, #8)",unknown
995390297e885b9e789a728665908cf557a9ce327ca757d2201e20eeeece79ee.wasm,"address, address, 184792, 266491",ok,"Error(Contract, #1)",no
995a77962258898fa3f574a5729a69831e0cabeaf43a43987ca8829acb59715b.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
998bd960724fc7eda978da9dc6764f70810f3d731566f035f9eb172e3332a8ba.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
998e1a42589b06a2345d08ff51e730a4f45cb9828e2258610227b887e6bf265c.wasm,"address, 450592, t9m, 1","Error(Contract, #605)","Error(Contract, #605)",unknown
99951f5c02fcccda576bfccf3b7ad77cb192fecf742132b04c93d02660a7c734.wasm,"address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
99a186f4abad418fb0bc4c613a13a70c634589c2f22a712cc7ed4123bda04250.wasm,"address, address, p56, address, wp5, 5, 418865",ok,"Error(Contract, #2)",no
99e5d3fa955bc5e07bba3d87aadf87f4520d571c762d70517e0fe8e2e9603d19.wasm,"{admin: address manager: address processor: address proxy_asset_manager: address underlying_asset: address}, {adapter_change_cooldown: void cctp_destination_caller: void cctp_max_fee_bps: 219168 cctp_max_finality_threshold: 478906 config_change_cooldown: void emergency_cooldown: 71584 limits_cooldown: void manager_change_cooldown: void processor_change_cooldown: void processor_cooldown: void processor_daily_limit: void processor_max_per_tx: 430304}","Error(Contract, #48)","Error(Contract, #48)",unknown
9a2efbee9f3be796a600a8c288eaad2e709dde25e376dcaabf49e59a9643f872.wasm,"address, bytes[32]",ok,"Error(Contract, #204)",no
9a525da0c58ef0aefb641c1f38956af3b29710e3078ed91ea462f1a65ede623d.wasm,address,ok,"Error(Contract, #2)",no
9a6ff5a0c0ea53198114097fdf6971f9c8a7caf41cecb8efda75c04c684bfb4a.wasm,"address, [address address address address [address address] address], address, [address], 163451, 520035, 190198","Error(Contract, #2001)","Error(Contract, #2001)",unknown
9a9bec8073a63918ee7242461fa5635dbdceb0e8deb5aae774367c5240370067.wasm,"address, address, address, address, 944321, 492867, 948753, 437432","Error(Contract, #9)","Error(Contract, #9)",unknown
9b227de657aa47091be6e9a75d42356ada137ffb9e923a714564e9ec5170a1f1.wasm,"address, address",ok,ok,yes
9b274ad09bec5d7b63e5c0d5a4bb5d78b6a3c2e2fa1098dedcf606f8989dcc2e.wasm,"address, bytes[32], [], 291891","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9bb325fa66a70f79a58e29b60cd0b10ae9daa3056775bba8ea7071db02e9db2a.wasm,"address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
9bcdb4f45c20bb21575ec4fb9aeda4bdf9368d3afd250013ce0bd0a683bc2dc8.wasm,"address, address, address, address, address, address, address",ok,"Error(Contract, #1)",no
9c3f09d7a8441c8bfbe11871f8354128f57a71d4d5e70b2830452107392dc977.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
9c4cb0e5941247f5697dc3d8c819f2a6383e4de8a96f23342f591116d3f3d9e7.wasm,"address, {apy_alpha: 701786 burn_receive_percentage: 390271 burnable_percentage: 936348 dogstar_address: address dogstar_fee_percentage: 292921 haw_ai_percentage: 201929 haw_ai_pot: address oracle_contract_id: address power_action_fee: 275483 power_to_usdc_rate: 673974 stake_interest_percentages: [110566 972019 807236] stake_periods: [836726] terry_per_deck: 791958 terry_per_fight: 257347 terry_per_lending: 73549 terry_per_power: 190896 terry_per_stake: 241169 withdrawable_percentage: 375109 xtar_token: address}",ok,"Error(WasmVm, InvalidAction)",no
9caf42f4d410e95f648e3ce7494c555933329abe2fb20f1eaeea1c4a6d230ee9.wasm,"address, address, address, address, address",ok,"Error(Contract, #106)",no
9cc0613cd610bb623be169d6face8b1921d0406f88b17e15c3a1c0679f092e90.wasm,"address, 779432, 35204",ok,"Error(Contract, #1)",no
9d4626b8d2dae4c411d7bee6e2b107780bd9e229bcab8b80f08d6262cf2a15bf.wasm,address,ok,"Error(Contract, #3)",no
9d93be2e0c2ea02291828d84e6a8b8ea224551d5a37c22ad59da22b3c5490307.wasm,"address, address, address, address",ok,"Error(Contract, #10)",no
9e0de027693fcc6ce522246c54643103b3c78b14a205dc53f1033ab4173a30d9.wasm,"address, bytes[32], address, address",ok,"Error(Contract, #2)",no
9e2c6e045b3eb0a08809050cd356e12ebf8c5cde41328aa5331edd6a93a76b09.wasm,"address, address, address",ok,"Error(Contract, #27)",no
9e329f20fb6e9a3473aebfaf01ce68c2df7c56607282f6092641db2d6bf0ef58.wasm,"address, 568574",ok,"Error(WasmVm, InvalidAction)",no
9e398ab7ca651b4277df9ed390f4e012465c21447bad21ed6a0e9c6b975fd532.wasm,"address, address, 534422, 112738, address, address, 647904",ok,"Error(Contract, #1)",no
9e6821a5885532745682bbf649163712065a0058dc5dddf56f8084566c0e6617.wasm,"address, address",ok,"Error(Contract, #2)",no
9eacbd2d0fdd197bae3959e474b71d22a1664bbc7ebdf600f0d824d591ac42bd.wasm,"address, address, 302011, 655727, address, address, 900370",ok,"Error(Contract, #1)",no
9eae5faac651b3921fae4fd1760bd96676c065b4b0023d7692117c260595e7e3.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
9f0e0f7fc996ece51a7baf17886159e1a7c90491c7e72da4cf2ccc6fd3677df8.wasm,"address, {alpha_g1: bytes[64] beta_g2: bytes[128] delta_g2: bytes[128] gamma_g2: bytes[128] ic: [bytes[64] bytes[64]]}",ok,"Error(Contract, #4)",no
9f10e0527cd180e53ab3da55484eca00c004333309fbff81b5ba8a52d8909f26.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 902500 fee_recipient: address max_allowed_slippage_bps: 823562 max_allowed_spread_bps: 909653 max_referral_bps: 866872 stake_init_info: {manager: address max_complexity: 766548 min_bond: 920858 min_reward: 748990} swap_fee_bps: 845364 token_init_info: {token_a: address token_b: address}}, address, 466515, , na4, 925926, 777953","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9f22d21455d9b5e52540a97046229290491fbc996a6ae6896bdea8d545466119.wasm,"address, address, address, tu, true, address, 423342, 567535, 108609","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
9f88e195c1dae60a9a47c380c1bffe48eec883bf331607f528ad0eda920cab09.wasm,", address, address, address",ok,"Error(Contract, #1)",no
9f95e0a20f9d3651a325f2f2f1fdb5af6325d974b47e7c0fe914c1a3a1536b30.wasm,"address, address, 206112",ok,"Error(Contract, #1)",no
9f9b1f8baf9be725465e23a8bf1d864af480a2e8ff6b15de2aaec8924835ccae.wasm,"address, address",ok,"Error(Contract, #2)",no
9fa1281e281d92a9e5b0901c405838dad8dc0cf687167e6454904b540ee920b6.wasm,address,ok,"Error(Contract, #1)",no
9fc698f1cfb1ff9f72c82408495445f5b3337df29249fa7230ea6da085ef13d3.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
9ff4e5eb4a501bb35364c82c5cfe9abc613445672646adbff83ca4b0c80380cb.wasm,"bytes[32], address, address, 855460, 861952, 579987, address, 825575","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
a05f2e51a074d6bc9b66329f3d7ffa435e7f3c047cb1599161d6d990e822c74e.wasm,"address, address, 471159, address",ok,"Error(WasmVm, InvalidAction)",no
a0b1ed527acca9637b9e1c817c3b840918d9782055e5e03ee297de02dbed7577.wasm,"address, 125723, zb, jki","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
a0bdcd380df1a1dd2e19da4b641bc499eddb48c786754252a897e7d08e483a6f.wasm,"address, address, , , 1, b","Error(Contract, #7)","Error(Contract, #7)",unknown
a0fdcf79215427674c81f4f69df44b40cad73d397a09ddaa6ca0779ba86f2c00.wasm,"address, address, address, 371900",ok,"Error(Contract, #2)",no
a1629dcdf9192727296124ca4ef0f5cc5829086073b4cf5b4f42e27331b22ce0.wasm,"address, [address address address address [address address] address], address, bytes[32], [], [469302 263879]","Error(Contract, #2001)","Error(Contract, #2001)",unknown
a18d0c7241f89450f39278efe6158408d6469bcc30cecb6d3ef866316fbd58df.wasm,"address, address, address, 769278, 402879","Error(Contract, #3)","Error(Contract, #3)",unknown
a1b8523b41b1f559945724415096be6291dfff0fc801049c167381d755b0936c.wasm,"address, t1, u",ok,"Error(WasmVm, InvalidAction)",no
a1d87b2d3a271bc0ba540c9508bf2e18a3144d92030b1337da0edce81039fbc5.wasm,"652663, l, , address, address, 812611","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
a231e5057ef9288fb427942892e18c5f939c77491be08249573c9a171514e294.wasm,[{address: address index: 422805 share: 30569}],ok,"Error(Contract, #402)",no
a27578aaeb9c1d1686b42d48c211436e977d7bf4f57dafca00c03af58984eee1.wasm,"address, address, 245723, 513564, address, address, 892828",ok,"Error(Contract, #1)",no
a27dce4886c51a5d6ff02ad2ec3ff4c61dd14f7abf6b63abbbce8a22c5c31dec.wasm,address,ok,"Error(Contract, #2)",no
a2b79883db0af8c9f4ea8d941236bdfdf870039b4f7f6d35d791b752da54b4fe.wasm,address,ok,"Error(Contract, #1)",no
a2f45c8de9a360e1397e93589f28f4ea61d58881fd76b57298b66208d8bb1bb1.wasm,"address, address, address, address, address",ok,"Error(Contract, #2)",no
a310f227764c270bd4c410f5c7bd51d0f449c4ac663b653230aae23590e82419.wasm,"address, address",ok,"Error(Contract, #2)",no
a316e2675d3dd3ccc3f42ed494f6d126d61e26bea87fe4702ce42b3027fc2fe4.wasm,"address, address, 772984",ok,"Error(Contract, #410)",no
a3632198eb7092dfe9cd98aa4db7d4f701be35698f73e8406f409e173c629efa.wasm,"address, address, address",ok,"Error(Contract, #1)",no
a3684956b61019700eb2ee86a6988961bde627336aafea22cb4e9f00250c8798.wasm,"address, address, address",ok,"Error(WasmVm, InvalidAction)",no
a3d42a7a2c0bd49cd9cededab38a4a15fb2c0e76211f1d6f12a12531f8d13f95.wasm,"address, address, address, 893680",ok,"Error(WasmVm, InvalidAction)",no
a3e1bc1cc6c8bc1969581b6ea242d707a61a3ae97af129ae11ec11d9740d2793.wasm,"address, address, address",ok,"Error(Contract, #1)",no
a3eecda3e9af3685fb83c7cc8e25b5445f8cb9ff8da2a9d6640021e51af7dadd.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
a43a2a22b4661da94bc26407aab0524fd1bf1baa3a29614b534a249bc1cd715f.wasm,"address, 66065, 841008, address",ok,"Error(WasmVm, InvalidAction)",no
a476d5610d916f90f83cee21d6ad427dcae1432007b6037566955ef5c20e68bb.wasm,address,ok,ok,yes
a4c53be933a0dbbf6752a39f7246bb57e86d148faf21c731ee4b2d75c137b69b.wasm,"address, 490935, c3, p","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
a4cb184e4e265825f9f3604a7cd6d07e5a7b9831c4b4fd1797ef7c2cef28c8dd.wasm,"address, 227607, 9w6, jv, address, 419577","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
a4cde8018d927347eeb3697d688d50feee258900e40a7e09bba9b507ed6bf9d8.wasm,"address, address, address, address, address, address","Error(Contract, #9)","Error(Contract, #9)",unknown
a4dc568f446001660f9518ea9cf8f5668e6ca193588ff664f27510f28e5d5cf3.wasm,"address, address",ok,"Error(Contract, #4)",no
a50f65be69237efc6895e9af19e5102a6f0aa8cbd5886919aaab962a7ee09fa8.wasm,"address, 817488, 143111, 510092, 236698",ok,ok,yes
a51e7e68062ead67c3517d4010807b32f431a07fdae52de25bf9bdd748f80843.wasm,"address, {merkle_tree_id: address server_pub_key: bytes[64] verifier_id: address vk_hash: U256(UInt256Parts { hi_hi: 0, hi_lo: 0, lo_hi: 0, lo_lo: 655328 })}",ok,"Error(Contract, #1)",no
a54144b348366739782ab81fad1c30b3dffb2c1e483040b6b559a05910c9e805.wasm,"address, [address address address address [address]], address, bytes[32], [address address address], 884974, 330388","Error(Contract, #2003)","Error(Contract, #2003)",unknown
a552658eaf572b4c6230e8a3b94b6ebfbf458487a74f720d992fbec61e8fbb46.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
a56fe1313fb3ffe1c5a18341bf37854a5a32d6242197efcc8a0ac82546160603.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 844501 fee_recipient: address max_allowed_slippage_bps: 86418 max_allowed_spread_bps: 887413 max_referral_bps: 617913 stake_init_info: {manager: address max_complexity: 50101 min_bond: 142080 min_reward: 191249} swap_fee_bps: 907515 token_init_info: {token_a: address token_b: address}}, address, 839434, dpm, q, 734909, 328088","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
a5db0859d0c4498193bbab8074f2d5b1e186e6af7f22d37087974907a6f49b72.wasm,"address, address",ok,"Error(Contract, #2)",no
