wasm,instances,oz_version,oz_crates,oz_modules,sdk,desc
f66c2ce4bf7d37ab858642b259c1c5ab294becea4ee7fc8380b249cbf21671b3,3,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
0566a42855fac1c21402ef84e0f32625a9e3186c0a29bbbfd64c35dd7bee8a4c,2,undetermined (0.4.0-0.7.2),stellar-contract-utils,PausableError,22.0.7,
0b76ae9bb4967b41d4cb9effad8babed8720b5233f9ec3384f6944a284caf074,2,"0.6.0,0.7.0,0.7.1,0.7.2",stellar-tokens,NonFungibleTokenError,26.1.0,
0eb3a9c49b66b4af26b0a95337a334b31d981a89258d0fbe0b8d7390a36fc2aa,2,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
12fd219457b92f1de40da737aac2055d18ad9b2d97af4827b9b16ff1ad5ad725,2,"stellar-access 0.4.1 (exact, from build path)",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
142a6bc9cd56dc2c0edc713132c82111a8b44bf15be5ff12a774cb016e143f55,2,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
16f229fbdacc7f9266bc49613c8b3fa898714ff857c42c4211922d567bb1cbaa,2,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils;stellar-tokens,FungibleTokenError;OwnableError;PausableError;UpgradeableError,22.0.8,
172bba5089fb1dc27ffd25f8c025c8fbb1ceda47be773e51f032cd4d247915cf,2,0.6.0,stellar-contract-utils,CryptoError;MerkleDistributorError;PausableError;SorobanFixedPointError;UpgradeableError,23.5.2,
36fd0482f60c3b5e6b90e67cb64ffaf5aeb851007e2dbf05569a76e3c6a1abb2,2,0.5.0,stellar-access;stellar-contract-utils,AccessControlError;CryptoError;MerkleDistributorError;OwnableError;PausableError;RoleTransferError;SorobanFixedPointError;UpgradeableError,23.1.0,
4a4441814cc6beb69692b0d11fe7bf83761146d0ab98a6f06750c2f4c37a12cd,2,0.6.0,stellar-access;stellar-contract-utils,AccessControlError;CryptoError;MerkleDistributorError;OwnableError;PausableError;RoleTransferError;SorobanFixedPointError;UpgradeableError,23.5.1,
52c650a38b4b1688a20eccae73f6dabe1457a6fb024dc8e729455d53c320711e,2,"git 7b14668 (packages/tokens) (git commit, from build path)",stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,23.0.2,
54a4bec4258f7a5c5297f3968f2774310a08c6a7093835d332a6fb3e9a1c3f0d,2,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
573b185ed8851efb48590b55b6f2bd97bd64f1890f1b8bbf20a6cf32951f4066,2,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
8b0bf09c784042c7ba0975e4e58f8037a78f0ffeccf9bcaf903476e9496f6bfb,2,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
8b9159baf55d4e9b9768aeed5bf925eba43a221f20d52857abf1e35a38f03a7c,2,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
8e89b10f6ce850028a6d390cbb229f0d0f20ef5a647daf3fc3c3f9b875a60deb,2,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError,22.0.8,
90d65279b7c21648875949c4885bd5c588ca547e343027f130b3d0ee34640336,2,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
98eda5f67e4a35d965abb2b254dd5c861536407dd2caca535a4b77825ebb3bfb,2,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.1.0,
